id,name,city,country,continent,region,lon,lat,rank
RTM,Rotterdam The Hague,Rotterdam,Netherlands,Europe,Western Europe,4.430833,51.953056,661
PLQ,Palanga International,Palanga,Lithuania,Europe,Northern Europe,21.093889,55.973333,662
RMF,Marsa Alam International,Marsa Alam,Egypt,Africa,Northern Africa,34.583611,25.557222,663
LXR,Luxor International,Luxor,Egypt,Africa,Northern Africa,32.706667,25.671111,664
TTU,Sania Ramel,Tétouan,Morocco,Africa,Northern Africa,-5.328056,35.59,666
ISU,Sulaimaniyah International,Sulaymaniyah,Iraq,Asia,Western Asia,45.315833,35.5625,677
DIY,Diyarbakır,Diyarbakır,Turkey,Asia,Western Asia,40.201111,37.893889,682
OUA,Ouagadougou,Ouagadougou,Burkina Faso,Africa,Western Africa,-1.5125,12.353333,691
OUD,Angads,Oujda,Morocco,Africa,Northern Africa,-1.923889,34.787222,693
OSS,Osh,Osh,Kyrgyzstan,Asia,Central Asia,72.793333,40.608889,702
SBZ,Sibiu International,Sibiu,Romania,Europe,Eastern Europe,24.091389,45.785556,704
ATZ,Assiut,Asyut,Egypt,Africa,Northern Africa,31.011944,27.046389,705
NDR,Nador International,Nador,Morocco,Africa,Northern Africa,-3.028333,34.988889,707
MPL,Montpellier–Méditerranée,Montpellier,France,Europe,Western Europe,3.961389,43.583333,709
LYP,Faisalabad International,Faisalabad District,Pakistan,Asia,Southern Asia,72.994722,31.365,710
HTY,Hatay,Hatay Province,Turkey,Asia,Western Asia,36.284722,36.359722,711
REG,Reggio Calabria,Reggio Calabria,Italy,Europe,Southern Europe,15.653611,38.071944,713
BJM,Bujumbura International,Bujumbura,Burundi,Africa,Eastern Africa,29.318611,-3.323889,715
TKU,Turku,Turku,Finland,Europe,Northern Europe,22.262778,60.514167,719
FNA,Lungi International,Freetown,Sierra Leone,Africa,Western Africa,-13.195556,8.616389,722
BOH,Bournemouth,Bournemouth,United Kingdom,Europe,Northern Europe,-1.8425,50.78,727
